Reference Designator,Description,Manufacturer,Manufacturer Part Number,Suppliers,Package,Quantity,Category 85Ce48C4B2B95E09,Digikey Description,Description,Category 4C11811B7D3097D6,Category F8883582C9A8234F,Mounting Type,Temperature Range Low,Verified Attributes,Category 7542B8484461Ae85,Digikey Partnumber,Capacitance,Imported From,Mouser Partnumber,Verified Geometry,Land Pattern,Voltage,Ipc Land Pattern Name,Verified Pin Names,Tolerance,Temperature Range High,Verified Pad Assignment,Standard Package,Temperature Coefficient,Size / Dimension,Operating Temperature,Package / Case,Thickness (Max),Other Names,Mfg Package Ident,Dielectric Material,Voltage Rating Dc,Size Length,Size Width,Size Height,Packaging,Voltage - Rated,Applications,Capacitance Tolerance,Size Thickness,Dielectric Characteristic,Case Package Si,Lifecycle Status,Possible Substitute,Centroid Not Specified,Insulation Resistance,Height - Seated (Max),Esr (Equivalent Series Resistance),Symbol Type,Mouser Part Number,Digikey Part Number,I2C Addr,Frequency - Switching,Current - Output,Voltage Output,Category 9E07530Daf1645C0,Reach Svhc Compliance,Output Current,Input Voltage Dc,Category 56439B4967F48D84,Max Output Voltage,Mounting Style,Category 1A59D7532Be8C19E,Max Supply Voltage Dc,Category Bdf870F289E5663F,Category 0542C84834E1De85,Memory Size,Category 42E28Fe8734E9925,Conn 256 Type,Pinouts,Propagation Delay Max,Category 1A2Bd7212Bffc1Ec,Category C6E50Beff7391D22,Category 9E37533Dafe045F0,Output Current Drive,Manufacturer Link,Footprint 0 Description,Min Supply Voltage Dc,Packagedescription,Voltage Nodes,Category Cb8C0686Fca9104B,Category 2Fc5E2Cf1B85F402,Category 84F649Fcb0Ed5F31,Category 848D4987B4D35F4A,Lens Type,Category 8Ce841E2B947572F,Viewing Angle,Forward Voltage,Luminous Intensity,Category B6497B438Fa86D8E,Category 0Dd3C0D93D8Cd614,Category A1D76Cdd91F27A10,Wavelength,Category Ab56665C9B747091,Resistance,Current Rating,Category A2356F3F97E979F2,Category 16B3Dbb927A0Cd74,Category 09Adc4A738A6D26A,Category 4Fd782Dd7A729410,Category 8Ef743Fdbff05530,Frequency,Category C67D0B77F76A1Dba,Category F9493443Ce12228E,Category Bf4E72448E766489,Category 7Bc8B6C24E6Aa00F,Number Of Circuits,Inductance,Q Factor,Self Resonant Frequency,Current,Frequency - Self Resonant,Is Generic,Category 5A00970A6D5C81C7,Category 5C6A91606D4187Ad,Category Cd01000Bfc2916C6,Power Rating,Resistance Tolerance,Resistance (Ohms),Number Of Terminations,Supplier Device Package,Power (Watts),Kits,Height,Composition,V<Sub>F</Sub> [Max],V<Sub>R</Sub>,Package Version,I<Sub>R</Sub> [Max],C<Sub>D</Sub> [Max],Manufacturer Page,I<Sub>Fsm</Sub> [Max],Configuration,I<Sub>F</Sub>,Voltage - Reverse Standoff (Typ),Polarization,Voltage - Breakdown,Is Female,Is Connector,Mounting Feature,Shield Termination,Connector Type,Contact Termination,Frequency - Max,Fastening Type,Impedance,Connector Style,Load Capacitance,Category 008Acd80318Bdb4D,Category 9Afb57F1Abf5413C,Category 6088Ad82520Dbb4F
C156 C176 C187 C188,Capacitor SMD Ceramic,Samsung,CL32B226KAJNFNE,,1210,4,,,,,,,,,,,22uF,,,,,25V,CAPC320250X55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C157 C165 C175 C186 C193,Chip Monolithic Ceramic Capacitors,Murata,GRM188R71C105KA12D,Digi-Key 490-3900-1-ND/Digi-Key 490-3900-6-ND/Digi-Key 490-3900-2-ND/Newark 14T3313,0603,5,Uncategorized,,,Single Components,Capacitors,surface mount,,,Passive Components,,1 uF,,,,,16 V,,,,,,,,,,,,,,,16 V,1.6 mm,800 um,800 um,,,,±10%,800 um,X7R,1608,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C159,No description,Murata Electronics North America,GRM1555C1H471JA01D,Digi-Key 490-1297-6-ND/Digi-Key 490-1297-2-ND,0402,1,,,,,,,,,,,470pF,,,,,,CAPC10050X35,,±5%,,,"10,000","C0G, NP0","0.039"" L x 0.020"" W (1.00mm x 0.50mm)",-55°C ~ 125°C,0402 (1005 Metric),"0.022"" (0.55mm)",,,,,,,,,50V,,,,,,,GRM1555C1H471JA01J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C162,Capacitor SMD Ceramic,Murata Electronics North America,GRM1555C1H151JA01D,,0402,1,,,,,,,,,,,150pF,,,,,50V,CAPC10050X35,,±5%,,,"10,000","C0G, NP0","0.039"" L x 0.020"" W (1.00mm x 0.50mm)",-55°C ~ 125°C,0402 (1005 Metric),"0.022"" (0.55mm)",490-3229-2,,,,,,,,,,,,,,,GRM1555C1H151JA01J,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C173 C197,No description,Murata Electronics North America,GRM1555C1H101JZ01D,Digi-Key 490-1278-6-ND,0402,2,,,,,,,,,,,100pF,,,,,50V,CAPC10050X35,,±5%,,,"10,000","C0G, NP0","0.039"" L x 0.020"" W (1.00mm x 0.50mm)",-55°C ~ 125°C,0402 (1005 Metric),"0.022"" (0.55mm)",490-1278-6,,,,,,,Cut Tape (CT),,,,,,,,GRM1535C1H100JDD5D,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C178,No description,Murata Electronics North America,GRM1555C1HR50CZ01D,,0402,1,,,,,,,,,,,0.5pF,,,,,50V,CAPC10050X35,,±0.25pF,,,,"C0G, NP0","0.039"" L x 0.020"" W (1.00mm x 0.50mm)",-55°C ~ 125°C,0402 (1005 Metric),"0.022"" (0.55mm)",490-1263-6,,,,,,,Digi-Reel®,,,,,,,,UMK105CG0R5CV-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C179 C180,22 pF Capacitor,Murata,GRM1555C1H220JZ01D,Newark 38K1655,0402,2,Uncategorized,,,Single Components,Capacitors,surface mount,,,Passive Components,,22 pF,,,,,50 V,CAPC10050X35,,,,,,0 ppm/°C,,,,,,,Ceramic Multilayer,,,,,,,,,,C0G/NP0,,,,,10 GΩ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C183,No description,Murata Electronics North America,GRM1555C1H121JA01D,,0402,1,,,,,,,,,,,120pF,,,,,50V,CAPC10050X35,,,,,,"C0G, NP0","0.039"" L x 0.020"" W (1.00mm x 0.50mm)",-55°C ~ 125°C,0402 (1005 Metric),"0.022"" (0.55mm)",490-1292-6,,,,,,,Cut Tape (CT),,,,,,,,GRM1535C1H121JDD5D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C189,No description,Vishay Sprague,593D107X06R3C2TE3,,Size C (6032),1,,,,,,Surface Mount,,,,,100µF,,,,,6.3V,CAPCP600220X250,,±20%,,,,,"0.236"" L x 0.126"" W (6.00mm x 3.20mm)",-55°C ~ 125°C,2312 (6032 Metric),,,,,,,,,,,,,,,,,TR3C107M6R3C0250,,,"0.110"" (2.79mm)",250 mOhm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C190,Capacitor SMD Ceramic,Murata,GRM1555C1H6R8DZ01D,,0402,1,,,,,,,,,,,6.8pF,,,,,50V,CAPC10050X35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C191,3.9 pF Capacitor,Murata,GRM1555C1H3R9CA01D,Digi-Key 490-5940-1-ND/Digi-Key 490-5940-6-ND/Digi-Key 490-5940-2-ND/Newark 14T3295,"0402, 1005",1,Uncategorized,,,Single Components,Capacitors,,,,Passive Components,,3.9 pF,,,,,50 V,CAPC10050X35,,,,,,,,,,,,,,,1 mm,500 um,,,,,,500 um,C0G/NP0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C192,1.8 pF Capacitor,Murata,GRM1555C1H1R8CA01D,Digi-Key 490-5898-6-ND/Digi-Key 490-5898-1-ND/Digi-Key 490-5898-2-ND/Newark 14T3291,"0402, 1005",1,Uncategorized,,,Single Components,Capacitors,surface mount,,,Passive Components,,1.8 pF,,,,,50 V,CAPC10050X35,,,,,,,,,,,,,,50 V,1 mm,500 um,,,,,,500 um,C0G/NP0,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
